Season,Round,Date,Time,Home_Team,Away_Team,FT_Home_Goals,FT_Away_Goals,HT_Home_Goals,HT_Away_Goals,Total_Goals,HST,AST,HC,AC,HR,AR,AH_Result,OU_Result,Home_Elo,Away_Elo,Elo_Diff,Home_Avg_GS,Home_Avg_GA,Home_Avg_ST,Home_Avg_Corners,Away_Avg_GS,Away_Avg_GA,Away_Avg_ST,Away_Avg_Corners,Home_GS_AtHome,Home_GA_AtHome,Away_GS_AtAway,Away_GA_AtAway,Home_Attack_Eff,Home_Defense_Pressure,Away_Attack_Eff,Away_Defense_Pressure,Home_Days_Rest,Away_Days_Rest,Rest_Diff,H2H_Home_WinRate,H2H_Avg_Goals,Attack_Diff,Defense_Diff,Form_Diff
2019-2020,21,2020-01-01,17:30,西汉姆联,伯恩茅斯,4,0,3,0,4,7,2,9,2,0,0,1,1,1458.741956877064,1437.331921186068,21.410035690995983,0.8,1.8,3.4,5.4,0.4,1.4,1.6,3.8,1.4,2.4,0.8,1.6,0.25,0.4071428571428571,0.25,0.4333333333333333,4.0,4.0,0.0,0.1666666666666666,3.0,0.4,-0.4000000000000001,-1.1102230246251563e-16
2019-2020,21,2020-01-01,20:00,阿森纳,曼彻斯特联,2,0,2,0,2,4,4,1,4,0,0,1,-1,1526.4290328247653,1559.2801457815829,-32.85111295681759,1.0,1.4,2.0,3.0,1.8,1.0,7.6,4.6,1.0,2.0,1.4,1.4,0.4,0.3571428571428571,0.2421428571428571,0.3399999999999999,3.0,4.0,-1.0,0.6666666666666666,2.6666666666666665,-0.8,-0.3999999999999999,-1.2
2019-2020,21,2020-01-01,15:00,南安普敦,托特纳姆热刺,1,0,1,0,1,3,5,6,9,0,0,1,-1,1448.0186216455063,1549.0646745823262,-101.04605293681992,1.4,1.0,4.4,7.0,2.2,1.2,5.0,4.2,1.2,1.2,1.8,1.8,0.2983333333333333,0.25,0.36,0.4133333333333333,4.0,4.0,0.0,0.3333333333333333,3.333333333333333,-0.8000000000000003,0.1999999999999999,-0.6000000000000003
2019-2020,21,2020-01-01,12:30,布莱顿,切尔西,1,1,0,1,2,5,5,5,3,0,0,1,-1,1444.159297240525,1575.1000111763728,-130.94071393584818,1.2,1.2,5.4,5.0,1.0,1.4,3.8,6.0,1.2,1.0,1.6,1.4,0.2266666666666666,0.3099999999999999,0.2833333333333333,0.419047619047619,4.0,3.0,1.0,0.0,2.6666666666666665,0.1999999999999999,0.1999999999999999,0.3999999999999999
2019-2020,21,2020-01-01,17:30,曼彻斯特城,埃弗顿,2,1,0,0,3,7,2,3,6,0,0,-1,-1,1696.0441061687395,1505.6857762248,190.35832994393945,2.6,0.8,7.2,7.8,1.4,0.6,4.8,5.8,2.0,1.0,1.6,2.0,0.3757142857142857,0.3214285714285714,0.296031746031746,0.14375,3.0,4.0,-1.0,1.0,3.333333333333333,1.2000000000000002,-0.2,1.0
2019-2020,21,2020-01-01,15:00,沃特福德,狼队,2,1,1,0,3,3,4,4,7,1,0,1,1,1435.581698736394,1549.7432061436891,-114.16150740729518,1.2,0.6,3.2,3.8,1.6,1.6,4.8,7.0,1.2,1.0,1.4,1.2,0.3333333333333333,0.1458333333333333,0.295,0.4085714285714286,4.0,3.0,1.0,0.3333333333333333,2.333333333333333,-0.4000000000000001,1.0,0.6
2019-2020,21,2020-01-01,15:00,纽卡斯尔联,莱斯特城,0,3,0,2,3,2,10,4,5,0,0,-1,1,1488.95522652435,1571.1351135876678,-82.17988706331766,1.0,1.6,3.2,3.0,1.6,2.0,4.6,5.0,1.6,1.2,2.2,1.0,0.3416666666666666,0.2244444444444444,0.3625,0.4,4.0,4.0,0.0,0.5,1.5,-0.6000000000000001,0.3999999999999999,-0.2000000000000001
2019-2020,21,2020-01-01,12:30,伯恩利,阿斯顿维拉,1,2,0,2,3,1,6,8,4,0,0,-1,1,1450.8957996575432,1455.767363783156,-4.871564125612849,0.4,1.6,1.4,3.4,0.6,2.4,2.4,5.0,1.0,1.6,0.8,2.2,0.3125,0.4380952380952381,0.2916666666666666,0.4083333333333333,4.0,4.0,0.0,0.5,4.0,-0.1999999999999999,0.7999999999999998,0.5999999999999996
2019-2020,21,2020-01-02,20:00,利物浦,谢菲尔德联队,2,0,1,0,2,7,2,8,4,0,0,1,-1,1761.7625892108877,1522.757697556087,239.0048916548008,3.0,0.4,5.8,5.4,1.2,0.8,2.4,4.2,2.6,0.8,1.0,1.0,0.5333333333333333,0.1666666666666666,0.5208333333333333,0.3125,4.0,4.0,0.0,1.0,1.0,1.8,0.4,2.2
2019-2020,22,2020-01-10,20:00,谢菲尔德联队,西汉姆联,1,0,0,0,1,3,2,7,3,0,0,1,-1,1520.2698322700755,1465.3831139722586,54.88671829781697,0.8,1.0,2.2,4.8,1.6,1.4,4.2,6.4,1.8,1.2,0.6,1.4,0.3541666666666666,0.3214285714285714,0.3642857142857142,0.35,8.0,9.0,-1.0,0.5,2.0,-0.8,0.3999999999999999,-0.4000000000000001
2019-2020,22,2020-01-11,15:00,切尔西,伯恩利,3,0,2,0,3,8,2,10,3,0,0,1,1,1574.2118126174778,1438.2242124817358,135.987600135742,1.0,1.0,4.0,5.6,0.6,1.0,1.4,4.8,0.8,1.0,0.8,1.8,0.2733333333333333,0.3733333333333333,0.5625,0.3111111111111111,10.0,10.0,0.0,0.8333333333333334,4.666666666666667,0.4,0.0,0.4
2019-2020,22,2020-01-11,15:00,曼彻斯特联,诺维奇,4,0,1,0,4,6,3,4,2,0,0,1,1,1551.1891360584784,1426.135188524417,125.05394753406154,1.4,1.2,7.0,4.8,1.0,1.4,4.4,4.2,2.4,1.2,0.8,1.2,0.185,0.4,0.3452380952380952,0.3638095238095238,10.0,10.0,0.0,1.0,4.0,0.3999999999999999,0.1999999999999999,0.5999999999999999
2019-2020,22,2020-01-11,15:00,莱斯特城,南安普敦,1,2,1,1,3,5,10,2,4,0,0,-1,1,1581.6475683738836,1458.0487293782678,123.59883899561578,1.4,1.8,5.0,5.0,1.4,0.6,4.2,5.8,1.4,1.2,1.8,1.4,0.3125,0.3,0.3149999999999999,0.1833333333333333,10.0,10.0,0.0,1.0,6.0,0.0,-1.2000000000000002,-1.2000000000000002
2019-2020,22,2020-01-11,15:00,狼队,纽卡斯尔联,1,1,1,1,2,4,1,5,2,0,0,-1,-1,1539.335830773064,1478.4427717381343,60.89305903492982,1.4,1.6,4.6,7.6,0.6,2.0,2.4,3.2,1.8,1.2,1.2,1.8,0.265,0.4419047619047619,0.2583333333333333,0.2344444444444444,10.0,10.0,0.0,0.6666666666666666,2.333333333333333,0.7999999999999999,0.3999999999999999,1.1999999999999995
2019-2020,22,2020-01-11,17:30,托特纳姆热刺,利物浦,0,1,0,1,1,4,7,4,3,0,0,-1,-1,1539.0345668495647,1764.250454496899,-225.21588764733428,1.2,1.4,4.6,5.8,2.4,0.0,6.2,6.0,2.2,1.2,2.4,0.6,0.2171428571428571,0.48,0.3904761904761904,0.0,10.0,9.0,1.0,0.0,3.0,-1.2,-1.4,-2.6
2019-2020,22,2020-01-11,15:00,埃弗顿,布莱顿,1,0,1,0,1,6,2,4,3,0,0,1,-1,1502.5211223033627,1445.0474957994195,57.473626503943024,1.0,0.8,3.8,6.8,1.0,1.0,5.6,5.4,1.0,0.8,1.2,1.8,0.3138888888888889,0.1526785714285714,0.1666666666666666,0.2699999999999999,10.0,10.0,0.0,0.3333333333333333,3.333333333333333,0.0,0.1999999999999999,0.1999999999999999
2019-2020,22,2020-01-12,16:30,阿斯顿维拉,曼彻斯特城,1,6,0,4,7,1,12,2,4,0,0,-1,1,1468.4389509589637,1699.2087600901768,-230.76980913121332,0.8,1.8,3.2,4.2,2.2,0.8,7.0,7.2,1.2,1.8,2.4,1.2,0.25,0.5083333333333333,0.3328571428571428,0.3214285714285714,11.0,11.0,0.0,0.0,3.0,-1.4,-1.0,-2.4000000000000004
2019-2020,22,2020-01-12,14:00,伯恩茅斯,沃特福德,0,3,0,1,3,1,6,5,5,0,0,-1,1,1430.6907640908737,1445.989074107019,-15.29831001614548,0.4,1.6,2.0,4.0,1.6,0.8,3.2,3.4,0.6,1.4,0.6,1.6,0.1875,0.4809523809523809,0.4666666666666666,0.1666666666666666,11.0,11.0,0.0,0.6666666666666666,3.333333333333333,-1.2000000000000002,-0.8,-2.0
2019-2020,23,2020-01-18,15:00,阿森纳,谢菲尔德联队,1,1,1,0,2,6,3,7,6,0,0,-1,-1,1534.5200425478697,1526.085428910434,8.434613637435632,0.8,1.2,2.2,2.6,0.6,1.0,2.2,5.6,1.2,1.8,0.8,1.2,0.3,0.2946428571428571,0.2708333333333333,0.2571428571428571,17.0,8.0,9.0,0.0,1.0,0.2,-0.1999999999999999,1.1102230246251563e-16
2019-2020,23,2020-01-18,17:30,纽卡斯尔联,切尔西,1,0,0,0,1,2,4,1,10,0,0,1,-1,1482.768743964568,1578.3016468388482,-95.53290287428035,0.8,2.0,2.6,3.0,1.6,0.8,4.6,5.8,1.2,1.6,1.4,1.4,0.4066666666666666,0.2344444444444444,0.3483333333333333,0.2733333333333333,7.0,7.0,0.0,0.0,2.333333333333333,-0.8,-1.2,-2.0
2019-2020,23,2020-01-18,15:00,南安普敦,狼队,2,3,2,0,5,5,4,1,3,0,0,-1,1,1473.7219781202623,1535.0098585466303,-61.28788042636802,1.8,0.6,5.8,5.6,1.4,1.4,4.4,6.4,1.2,0.8,1.4,1.4,0.3549999999999999,0.1733333333333333,0.275,0.5619047619047619,7.0,7.0,0.0,0.5,2.6666666666666665,0.4000000000000001,0.7999999999999999,1.2000000000000002
2019-2020,23,2020-01-18,15:00,曼彻斯特城,水晶宫,2,2,0,1,4,6,3,14,2,0,0,-1,1,1705.6131140469424,1505.1496760678212,200.4634379791212,3.2,0.6,8.4,4.8,1.0,1.0,3.2,4.4,2.0,1.0,0.8,0.6,0.3928571428571429,0.5,0.3333333333333333,0.3066666666666666,6.0,7.0,-1.0,0.6666666666666666,3.6666666666666665,2.2,0.4,2.6
2019-2020,23,2020-01-18,12:30,沃特福德,托特纳姆热刺,0,0,0,0,0,2,5,3,3,0,0,1,-1,1458.379807643826,1532.4902326144186,-74.11042497059248,2.2,0.4,4.0,3.8,0.8,1.4,4.4,6.2,1.4,0.8,1.6,1.6,0.5666666666666667,0.1,0.1371428571428571,0.4685714285714286,6.0,7.0,-1.0,0.5,2.6666666666666665,1.4,1.0,2.4000000000000004
2019-2020,23,2020-01-18,15:00,西汉姆联,埃弗顿,1,1,1,1,2,2,3,3,4,0,0,1,-1,1459.5675173319,1508.2754905185352,-48.70797318663517,1.4,1.0,3.8,6.2,1.0,0.6,4.4,6.6,2.0,2.2,1.4,2.2,0.3142857142857143,0.2166666666666666,0.2722222222222222,0.1214285714285714,8.0,7.0,1.0,0.3333333333333333,2.6666666666666665,0.3999999999999999,-0.4,-1.1102230246251563e-16
2019-2020,23,2020-01-19,16:30,利物浦,曼彻斯特联,2,0,1,0,2,5,4,11,5,0,0,1,-1,1770.7947887320452,1555.4875532546566,215.30723547738853,2.0,0.0,5.8,6.0,2.0,1.0,6.6,4.4,2.4,0.6,1.4,1.6,0.3523809523809523,0.0,0.2933333333333333,0.3333333333333333,8.0,8.0,0.0,0.6666666666666666,2.0,0.0,1.0,1.0
2019-2020,23,2020-01-19,14:00,伯恩利,莱斯特城,2,1,0,1,3,5,8,4,5,0,0,1,1,1434.134378260365,1565.9743196318889,-131.83994137152354,0.4,1.6,1.0,4.6,1.4,2.0,5.0,3.0,0.6,2.0,2.4,1.0,0.5,0.3270833333333333,0.3125,0.2733333333333333,8.0,8.0,0.0,0.25,1.5,-1.0,0.3999999999999999,-0.6000000000000001
2019-2020,24,2020-01-21,19:30,谢菲尔德联队,曼彻斯特城,0,1,0,0,1,1,5,5,13,0,0,1,-1,1529.1088914440234,1698.625872226629,-169.51698078260574,0.6,1.2,2.4,6.2,3.0,1.0,8.2,7.0,1.4,1.2,3.2,1.4,0.2291666666666666,0.2904761904761904,0.3738095238095237,0.6666666666666666,3.0,3.0,0.0,0.0,2.0,-2.4,-0.1999999999999999,-2.6
2019-2020,24,2020-01-21,19:30,阿斯顿维拉,沃特福德,2,1,0,1,3,5,2,6,3,0,0,1,1,1464.222335184638,1457.6360219289882,6.586313255649884,1.0,2.2,3.0,3.8,1.8,0.4,3.8,3.8,1.2,2.6,1.0,1.4,0.4166666666666666,0.45,0.4333333333333333,0.1,3.0,3.0,0.0,0.0,3.0,-0.8,-1.8000000000000005,-2.6
2019-2020,24,2020-01-21,19:30,伯恩茅斯,布莱顿,3,1,2,0,4,3,8,5,8,0,0,1,1,1418.3000305540663,1437.105389401807,-18.805358847740763,0.2,2.2,1.8,4.2,1.0,1.0,4.4,4.6,0.4,2.0,1.0,1.4,0.0625,0.5809523809523809,0.1966666666666666,0.2033333333333333,9.0,3.0,6.0,0.5,3.5,-0.8,-1.2000000000000002,-2.0
2019-2020,24,2020-01-21,19:30,埃弗顿,纽卡斯尔联,2,2,1,0,4,8,2,6,4,0,0,-1,1,1509.7411612052983,1492.6401776583389,17.10098354695947,1.2,0.8,5.0,6.4,0.8,2.0,2.4,2.4,1.0,0.6,0.8,1.6,0.2844444444444444,0.2464285714285714,0.44,0.2344444444444444,3.0,3.0,0.0,0.5,3.333333333333333,0.3999999999999999,1.2,1.6
2019-2020,24,2020-01-21,19:30,水晶宫,南安普敦,0,2,0,1,2,0,6,0,8,0,0,-1,0,1512.1369178881346,1462.6123419851858,49.524575902948754,1.4,1.2,3.0,3.8,1.6,1.0,5.2,4.8,1.2,1.0,2.0,1.2,0.4666666666666666,0.3066666666666666,0.36,0.29,3.0,3.0,0.0,0.25,2.0,-0.2000000000000001,-0.1999999999999999,-0.4000000000000001
2019-2020,24,2020-01-22,19:30,莱斯特城,西汉姆联,4,1,2,0,5,8,2,7,8,0,0,1,1,1555.0604493667013,1458.101846645137,96.95860272156438,1.4,1.8,6.2,3.8,1.4,1.2,3.4,5.2,1.2,1.6,0.6,1.0,0.21875,0.3033333333333333,0.3642857142857142,0.2833333333333333,3.0,4.0,-1.0,0.75,3.5,0.0,-0.6000000000000001,-0.6000000000000001
2019-2020,24,2020-01-22,19:30,托特纳姆热刺,诺维奇,2,1,1,0,3,3,2,7,3,0,0,-1,0,1533.2340183292563,1431.2090848221117,102.02493350714484,0.8,1.0,5.2,6.2,0.8,1.6,4.0,4.0,2.0,1.2,0.8,1.6,0.1371428571428571,0.3352380952380952,0.29,0.3571428571428571,4.0,4.0,0.0,0.5,4.0,0.0,0.6000000000000001,0.6000000000000001
2019-2020,24,2020-01-22,20:15,曼彻斯特联,伯恩利,0,2,0,1,2,7,2,5,2,0,0,-1,-1,1552.686985842408,1445.048248525553,107.6387373168552,2.0,1.0,5.8,4.4,0.6,1.8,1.8,4.4,2.6,1.0,0.8,1.8,0.2933333333333333,0.2799999999999999,0.35,0.2866666666666667,3.0,3.0,0.0,0.75,3.0,1.4,0.8,2.2
2019-2020,24,2020-01-23,20:00,狼队,利物浦,1,2,0,1,3,3,6,2,4,0,0,-1,1,1546.1194946817072,1773.5953561442936,-227.4758614625864,1.6,1.6,4.4,4.8,2.0,0.0,5.6,7.0,1.6,1.2,2.4,0.4,0.325,0.6133333333333333,0.3657142857142856,0.0,5.0,4.0,1.0,0.0,1.6666666666666667,-0.3999999999999999,-1.6,-2.0
2019-2020,18,2020-01-29,19:45,西汉姆联,利物浦,0,2,0,1,2,4,5,3,7,0,0,-1,-1,1453.232580733351,1780.0825400758977,-326.84995934254675,1.4,1.6,3.4,5.6,1.6,0.2,5.6,6.2,1.8,1.8,2.4,0.4,0.3642857142857142,0.2833333333333333,0.299047619047619,0.0666666666666666,7.0,6.0,1.0,0.25,3.0,-0.2000000000000001,-1.4,-1.6000000000000003
2019-2020,25,2020-02-01,17:30,曼彻斯特联,狼队,0,0,0,0,0,5,3,4,6,0,0,-1,-1,1537.333359428602,1539.6323107501032,-2.298951321501136,1.2,1.2,5.2,4.4,1.2,1.6,3.4,4.6,2.2,1.0,1.6,1.6,0.2133333333333333,0.38,0.3166666666666666,0.5466666666666666,10.0,9.0,1.0,0.5,2.0,0.0,0.4000000000000001,0.4000000000000001
2019-2020,25,2020-02-01,15:00,西汉姆联,布莱顿,3,3,2,0,6,6,6,4,6,0,0,0,1,1448.9689495698135,1429.4007243700305,19.568225199783,1.2,1.6,3.4,5.2,1.0,1.2,5.0,5.8,1.4,1.6,1.0,1.6,0.3142857142857143,0.3133333333333333,0.1816666666666666,0.3233333333333333,3.0,11.0,-8.0,0.3333333333333333,2.333333333333333,0.1999999999999999,-0.4000000000000001,-0.2000000000000001
2019-2020,25,2020-02-01,15:00,沃特福德,埃弗顿1,2,3,2,2,5,2,5,4,4,0,1,-1,1,1450.6110717247998,1502.0228220571869,-51.41175033238687,1.8,0.6,3.8,4.2,0.6,0.8,3.4,3.8,1.4,0.2,0.6,0.8,0.4333333333333333,0.13,0.1733333333333333,0.2466666666666666,11.0,119.0,-108.0,1.0,1.0,1.2000000000000002,0.2,1.4000000000000004
2019-2020,25,2020-02-01,15:00,纽卡斯尔联,诺维奇,0,0,0,0,0,5,4,8,12,0,0,-1,-1,1495.8885336997,1426.446447834518,69.44208586518198,1.0,1.6,2.4,3.2,1.0,1.8,3.2,3.0,1.0,1.2,0.6,2.0,0.54,0.2044444444444444,0.39,0.3904761904761904,11.0,10.0,1.0,0.0,4.0,0.0,0.1999999999999999,0.1999999999999999
2019-2020,25,2020-02-01,15:00,伯恩茅斯,阿斯顿维拉,2,1,2,0,3,6,5,1,8,1,0,1,1,1426.004695585843,1471.2472853888264,-45.2425898029835,0.8,2.2,2.4,4.4,1.2,2.4,3.6,4.0,0.8,1.8,0.8,1.8,0.25,0.4059523809523809,0.3966666666666666,0.55,11.0,11.0,0.0,1.0,3.0,-0.3999999999999999,0.1999999999999997,-0.2000000000000001
2019-2020,25,2020-02-01,15:00,利物浦,南安普敦,4,0,0,0,4,9,4,6,11,0,0,1,1,1784.346171239435,1476.6686160439815,307.6775551954536,1.8,0.2,6.0,6.6,1.6,1.0,5.8,6.2,2.4,0.4,2.0,0.8,0.3123809523809523,0.0666666666666666,0.2933333333333333,0.3625,3.0,11.0,-8.0,1.0,3.333333333333333,0.1999999999999999,0.8,1.0
2019-2020,25,2020-02-01,15:00,水晶宫,谢菲尔德联队,0,1,0,0,1,3,3,9,5,0,0,-1,-1,1498.080643829339,1521.0834706926676,-23.002826863328664,1.0,1.4,2.2,2.4,0.4,1.2,1.8,5.4,1.0,1.0,0.8,1.2,0.4583333333333332,0.2733333333333333,0.1666666666666666,0.2304761904761904,11.0,11.0,0.0,0.0,1.0,0.6,-0.1999999999999999,0.4
2019-2020,25,2020-02-01,12:30,莱斯特城,切尔西,2,2,0,0,4,4,3,4,6,0,0,0,1,1559.9297152784873,1563.931371315356,-4.001656036868781,2.2,1.2,7.8,4.8,1.6,1.0,5.8,8.6,1.6,1.6,1.2,1.2,0.275,0.27,0.265,0.44,10.0,11.0,-1.0,0.6666666666666666,1.0,0.6000000000000001,-0.1999999999999999,0.4000000000000001
2019-2020,25,2020-02-02,14:00,伯恩利,阿森纳,0,0,0,0,0,2,2,5,7,0,0,1,-1,1460.401874939359,1531.4965800142804,-71.09470507492142,1.0,1.6,2.2,4.4,1.0,0.8,3.2,3.4,1.0,1.8,1.2,1.2,0.48,0.2466666666666666,0.3333333333333333,0.2708333333333333,11.0,15.0,-4.0,0.0,3.6666666666666665,0.0,-0.8,-0.8
2019-2020,26,2020-02-08,12:30,埃弗顿,水晶宫,3,1,1,0,4,8,2,4,6,0,0,1,1,1506.4928051639372,1485.9000692560182,20.59273590791895,1.4,1.2,5.6,5.6,0.8,1.4,2.4,3.4,1.4,0.6,0.8,1.0,0.2944444444444444,0.3971428571428571,0.3333333333333333,0.2999999999999999,18.0,7.0,11.0,0.75,1.0,0.5999999999999999,0.1999999999999999,0.7999999999999998
2019-2020,26,2020-02-08,17:30,布莱顿,沃特福德,1,1,0,1,2,2,2,3,2,0,0,-1,-1,1432.7124529308726,1439.2216356715664,-6.509182740693859,1.2,1.8,5.0,5.2,1.6,1.2,3.0,3.8,1.2,1.0,1.0,1.4,0.215,0.4233333333333333,0.5333333333333333,0.25,7.0,7.0,0.0,0.5,1.6666666666666667,-0.4000000000000001,-0.6000000000000001,-1.0000000000000002
2019-2020,26,2020-02-09,14:00,谢菲尔德联队,伯恩茅斯,2,1,1,1,3,6,2,8,4,0,0,1,1,1533.2640452659882,1434.4415714878724,98.82247377811586,0.6,0.8,2.4,5.4,1.0,2.2,2.8,3.0,0.8,0.8,0.6,2.0,0.2,0.1304761904761904,0.2666666666666666,0.3459523809523809,8.0,8.0,0.0,0.5,2.0,-0.4,1.4,1.0
2019-2020,26,2020-02-15,12:30,南安普敦,伯恩利,1,2,1,1,3,2,6,4,3,0,0,-1,1,1474.92217597083,1459.5718278745403,15.350348096289736,1.4,1.6,5.6,6.0,1.0,1.2,2.4,4.4,1.2,1.2,0.6,1.8,0.2533333333333333,0.3486111111111111,0.48,0.1666666666666666,14.0,13.0,1.0,0.3333333333333333,1.6666666666666667,0.3999999999999999,-0.4000000000000001,-2.220446049250313e-16
2019-2020,26,2020-02-15,17:30,诺维奇,利物浦,0,1,0,0,1,1,6,2,7,0,0,1,-1,1430.9702868035947,1786.0926113125863,-355.1223245089918,0.6,1.4,3.6,4.6,2.2,0.2,6.4,6.2,1.2,1.4,2.4,0.2,0.19,0.3333333333333333,0.3441269841269841,0.0666666666666666,14.0,14.0,0.0,0.0,5.0,-1.6,-1.2,-2.8
2019-2020,26,2020-02-16,16:30,阿森纳,纽卡斯尔联,4,0,0,0,4,7,2,5,6,0,0,1,1,1532.3266270790991,1491.3646947306231,40.96193234847578,1.0,0.8,3.2,4.0,0.8,1.2,2.4,3.8,1.0,1.6,1.2,1.6,0.3333333333333333,0.2166666666666666,0.5,0.16,14.0,15.0,-1.0,1.0,2.0,0.1999999999999999,0.3999999999999999,0.5999999999999999
2019-2020,26,2020-02-16,14:00,阿斯顿维拉,托特纳姆热刺,2,3,1,2,5,4,10,12,7,0,0,-1,1,1462.810409486797,1543.9079316944308,-81.0975222076338,1.4,2.2,4.2,5.0,0.8,0.6,4.0,5.0,1.2,2.8,1.0,1.2,0.4366666666666667,0.5166666666666667,0.2666666666666666,0.1952380952380952,15.0,14.0,1.0,0.0,4.0,0.5999999999999999,-1.6,-1.0000000000000004
2019-2020,26,2020-02-17,20:00,切尔西,曼彻斯特联,0,2,0,1,2,1,3,9,8,0,0,-1,-1,1566.6261938133205,1534.593148434708,32.03304537861254,1.6,1.2,5.6,9.2,0.8,1.2,5.2,4.4,1.4,1.2,0.8,1.4,0.2983333333333333,0.44,0.1333333333333333,0.38,16.0,16.0,0.0,0.3333333333333333,3.333333333333333,0.8,0.0,0.8
2019-2020,26,2020-02-19,19:30,曼彻斯特城,西汉姆联,2,0,1,0,2,7,0,6,1,0,0,-1,-1,1706.651292977985,1445.6572210089714,260.9940719690135,2.6,0.8,6.8,8.4,1.0,2.2,3.2,4.2,2.0,1.2,0.6,1.8,0.3638095238095237,0.5416666666666666,0.3,0.4133333333333333,29.0,18.0,11.0,1.0,3.333333333333333,1.6,1.4,3.0
2019-2020,27,2020-02-22,17:30,莱斯特城,曼彻斯特城,0,1,0,0,1,3,7,3,7,0,0,0,-1,1557.2348927805228,1708.8762675441728,-151.64137476365,2.2,1.4,7.0,4.6,2.6,0.8,7.4,8.0,1.6,2.0,3.2,0.8,0.325,0.3533333333333333,0.320952380952381,0.5416666666666666,21.0,3.0,18.0,0.0,2.5,-0.3999999999999999,-0.5999999999999999,-0.9999999999999998
2019-2020,27,2020-02-22,15:00,南安普敦,阿斯顿维拉,2,0,1,0,2,9,1,9,6,0,0,1,-1,1461.7189639963265,1452.2668886066217,9.452075389704987,1.4,2.0,5.4,5.6,1.4,2.6,3.8,6.6,1.0,1.4,0.8,1.8,0.2866666666666667,0.4319444444444444,0.4699999999999999,0.3766666666666666,7.0,6.0,1.0,1.0,4.0,0.0,0.6000000000000001,0.6000000000000001
2019-2020,27,2020-02-22,15:00,伯恩利,伯恩茅斯,3,0,0,0,3,10,4,7,3,0,0,1,1,1472.775039849044,1429.6117210875186,43.16331876152526,1.2,1.0,3.4,3.4,1.2,2.2,2.8,3.4,0.8,1.0,0.4,1.8,0.3466666666666666,0.2,0.3666666666666666,0.3459523809523809,7.0,13.0,-6.0,1.0,3.0,0.0,1.2000000000000002,1.2000000000000002
2019-2020,27,2020-02-22,15:00,谢菲尔德联队,布莱顿,1,1,1,1,2,3,2,12,2,0,0,-1,-1,1538.093895666342,1430.0846909053796,108.00920476096236,1.0,0.6,3.2,6.2,1.2,1.8,4.4,4.8,1.2,0.6,1.2,2.0,0.2666666666666666,0.1733333333333333,0.275,0.4833333333333333,13.0,14.0,-1.0,1.0,1.0,-0.1999999999999999,1.2000000000000002,1.0
2019-2020,27,2020-02-22,12:30,切尔西,托特纳姆热刺,2,1,1,0,3,7,3,3,5,0,0,1,1,1552.9989310985577,1554.4514525746065,-1.4525214760485596,1.4,1.4,4.8,10.4,1.4,0.8,5.0,4.6,1.0,1.4,1.4,1.2,0.2583333333333333,0.5333333333333333,0.3266666666666666,0.2285714285714285,5.0,6.0,-1.0,0.6666666666666666,2.6666666666666665,0.0,-0.5999999999999999,-0.5999999999999999
2019-2020,27,2020-02-23,14:00,曼彻斯特联,沃特福德,3,0,1,0,3,9,2,3,5,0,0,1,1,1548.2204111494707,1441.8493976970594,106.37101345241126,1.2,0.8,5.0,5.2,1.4,1.2,2.8,3.4,1.8,0.8,1.2,1.2,0.2666666666666666,0.2799999999999999,0.5,0.3,6.0,15.0,-9.0,0.5,2.5,-0.1999999999999999,0.3999999999999999,0.1999999999999999
2019-2020,27,2020-02-23,14:00,狼队,诺维奇,3,0,2,0,3,6,4,4,1,0,0,1,1,1538.6719024013807,1427.2271833482407,111.44471905314003,1.0,1.0,3.4,4.6,0.4,1.4,3.0,4.6,1.2,1.4,0.4,1.6,0.2666666666666666,0.3466666666666666,0.1399999999999999,0.3,9.0,8.0,1.0,1.0,3.0,0.6,0.3999999999999999,1.0
2019-2020,27,2020-02-23,16:30,阿森纳,埃弗顿,3,2,2,2,5,4,5,6,3,0,0,1,1,1538.4782925972804,1513.1548485904652,25.32344400681518,1.6,0.6,4.2,4.4,1.6,1.2,5.4,4.8,1.6,1.2,1.4,2.0,0.3476190476190476,0.1666666666666666,0.325,0.4571428571428571,7.0,15.0,-8.0,0.5,1.0,0.0,0.6,0.5999999999999999
2019-2020,27,2020-02-24,20:00,利物浦,西汉姆联,3,2,1,1,5,7,4,16,8,0,0,-1,1,1789.8357147679403,1443.4322464427837,346.40346832515706,2.2,0.2,6.2,7.0,1.0,2.4,2.8,3.8,2.2,0.0,0.6,1.8,0.3488888888888889,0.0666666666666666,0.375,0.4038095238095238,9.0,5.0,4.0,0.8333333333333334,2.6666666666666665,1.2000000000000002,2.2,3.4
2019-2020,28,2020-02-28,20:00,诺维奇,莱斯特城,1,0,0,0,1,6,4,6,7,0,0,1,-1,1422.658498969369,1548.7104010549808,-126.0519020856118,0.4,1.2,3.2,4.4,1.6,1.6,5.6,4.2,1.0,1.2,2.2,1.4,0.1399999999999999,0.2666666666666666,0.265,0.3819047619047618,5.0,6.0,-1.0,0.5,2.0,-1.2000000000000002,0.4000000000000001,-0.7999999999999999
2019-2020,28,2020-02-29,17:30,沃特福德,利物浦,3,0,0,0,3,5,1,3,5,0,0,1,1,1437.1769432017345,1791.2579906280762,-354.0810474263419,0.8,1.8,2.0,3.4,2.4,0.6,6.6,8.0,1.8,0.8,2.0,0.2,0.4,0.3666666666666666,0.3546031746031746,0.1666666666666666,6.0,5.0,1.0,0.0,3.5,-1.6,-1.2000000000000002,-2.8
