Season,Round,Date,Time,Home_Team,Away_Team,FT_Home_Goals,FT_Away_Goals,HT_Home_Goals,HT_Away_Goals,Total_Goals,HST,AST,HC,AC,HR,AR,AH_Result,OU_Result,Home_Elo,Away_Elo,Elo_Diff,Home_Avg_GS,Home_Avg_GA,Home_Avg_ST,Home_Avg_Corners,Away_Avg_GS,Away_Avg_GA,Away_Avg_ST,Away_Avg_Corners,Home_GS_AtHome,Home_GA_AtHome,Away_GS_AtAway,Away_GA_AtAway,Home_Attack_Eff,Home_Defense_Pressure,Away_Attack_Eff,Away_Defense_Pressure,Home_Days_Rest,Away_Days_Rest,Rest_Diff,H2H_Home_WinRate,H2H_Avg_Goals,Attack_Diff,Defense_Diff,Form_Diff
2018-2019,21,2019-01-02,19:45,狼队,水晶宫,0,2,0,0,2,3,7,1,2,0,0,-1,-1,1510.9143977284127,1458.2155488114429,52.69884891696984,1.6,1.0,4.4,5.6,1.2,1.2,2.6,4.4,1.2,1.6,1.4,2.2,0.4,0.2499999999999999,0.625,0.2299999999999999,4.0,3.0,1.0,1.0,1.0,0.4000000000000001,0.1999999999999999,0.6000000000000001
2018-2019,21,2019-01-02,20:00,伯恩茅斯,沃特福德,3,3,3,3,6,12,3,4,2,0,0,0,1,1479.1690410423894,1496.3510823035974,-17.18204126120804,0.6,3.0,3.0,4.8,1.8,1.4,4.6,4.2,1.2,1.8,1.4,0.8,0.2,0.5761904761904761,0.4283333333333333,0.4133333333333333,3.0,4.0,-1.0,1.0,4.0,-1.2000000000000002,-1.6,-2.8
2018-2019,21,2019-01-02,19:45,西汉姆联,布莱顿,2,2,0,0,4,6,6,1,5,0,0,-1,1,1490.0235858867898,1496.3007774622977,-6.2771915755079135,1.4,1.4,5.0,5.8,1.2,1.0,3.4,3.4,2.0,2.2,0.8,1.4,0.3133333333333333,0.3,0.4861111111111111,0.3133333333333333,3.0,4.0,-1.0,0.0,1.0,0.1999999999999999,-0.3999999999999999,-0.1999999999999999
2018-2019,21,2019-01-02,20:00,纽卡斯尔联,曼彻斯特联,0,2,0,0,2,1,4,3,10,0,0,-1,-1,1455.5741798296283,1525.1538454779998,-69.57966564837147,0.6,1.4,2.6,3.8,3.4,1.4,8.0,5.6,0.8,1.2,2.2,2.0,0.2375,0.2066666666666666,0.4438383838383838,0.3378787878787878,4.0,3.0,1.0,0.0,5.0,-2.8,0.0,-2.8
2018-2019,21,2019-01-03,20:00,曼彻斯特城,利物浦,2,1,1,0,3,4,5,2,1,0,0,1,1,1595.5168018128338,1626.3238449327216,-30.8070431198878,2.0,1.6,5.4,10.2,3.6,0.4,7.8,8.8,3.4,1.4,2.2,0.4,0.3571428571428571,0.4585714285714285,0.5212121212121212,0.2,4.0,5.0,-1.0,0.5,0.0,-1.6,-1.2000000000000002,-2.8000000000000003
2018-2019,22,2019-01-12,12:30,西汉姆联,阿森纳,1,0,0,0,1,3,2,7,3,0,0,1,-1,1487.3896087827393,1556.1470318620063,-68.75742307926703,1.2,1.4,5.0,5.0,2.2,2.2,5.2,3.4,1.6,2.2,1.6,2.4,0.2799999999999999,0.2666666666666666,0.4288888888888889,0.3579365079365079,10.0,11.0,-1.0,0.0,4.0,-1.0000000000000002,0.8000000000000003,-0.1999999999999999
2018-2019,22,2019-01-12,15:00,伯恩利,富勒姆,2,1,2,1,3,0,4,2,6,0,0,1,1,1432.0132404546328,1430.3399984327816,1.673242021851138,1.0,1.8,2.6,4.6,0.6,1.4,3.6,3.4,1.2,2.0,0.2,1.8,0.4125,0.4166666666666666,0.1566666666666666,0.3402777777777778,13.0,11.0,2.0,0.0,6.0,0.4,-0.4000000000000001,-1.1102230246251563e-16
2018-2019,22,2019-01-12,15:00,卡迪夫城,哈德斯菲尔德,0,0,0,0,0,0,2,3,10,0,0,-1,-1,1445.5154808708576,1390.500620198538,55.01486067231963,0.8,2.2,3.2,2.8,0.6,2.0,3.8,5.8,1.2,2.0,0.8,1.4,0.2666666666666666,0.3361111111111111,0.24,0.29,11.0,10.0,1.0,0.5,0.0,0.2,-0.2000000000000001,-2.220446049250313e-16
2018-2019,22,2019-01-12,15:00,水晶宫,沃特福德,1,2,1,0,3,6,2,7,7,0,0,-1,1,1472.3478695823487,1498.690630747625,-26.34276116527621,1.2,0.6,3.2,4.2,2.0,1.6,4.6,3.4,0.6,0.4,1.6,1.4,0.5714285714285714,0.13,0.4949999999999999,0.3833333333333333,10.0,10.0,0.0,0.0,3.0,-0.8,1.0,0.2
2018-2019,22,2019-01-12,17:30,切尔西,纽卡斯尔联,2,1,1,1,3,6,2,8,5,0,0,-1,0,1569.3739232162643,1444.7008428062938,124.67308040997068,1.0,0.6,4.4,5.0,0.4,1.4,2.0,3.6,0.8,0.2,1.0,1.4,0.2833333333333333,0.3333333333333333,0.175,0.24,10.0,10.0,0.0,1.0,3.0,0.6,0.7999999999999999,1.4
2018-2019,22,2019-01-13,16:30,托特纳姆热刺,曼彻斯特联,0,1,0,1,1,11,8,7,4,0,0,-1,-1,1597.228051664292,1536.0271825013342,61.200869162957815,3.2,1.0,5.0,4.2,3.0,1.2,6.6,5.6,2.6,1.0,2.2,1.8,0.5761904761904761,0.3541666666666666,0.4711111111111111,0.2878787878787878,12.0,11.0,1.0,1.0,3.0,0.2000000000000001,0.1999999999999999,0.4000000000000001
2018-2019,23,2019-01-19,17:30,阿森纳,切尔西,2,0,2,0,2,4,1,2,3,0,0,1,-1,1547.0438495268852,1573.6797436645872,-26.635894137702053,1.8,1.8,4.8,3.0,1.0,0.6,5.0,6.4,2.6,1.0,1.4,1.4,0.3288888888888889,0.3388888888888889,0.2166666666666666,0.3333333333333333,7.0,7.0,0.0,0.0,5.0,0.8,-1.2000000000000002,-0.4
2018-2019,23,2019-01-19,15:00,南安普敦,埃弗顿,2,1,0,0,3,4,2,7,6,0,0,1,1,1446.127173294517,1488.7393491517298,-42.61217585721283,1.6,1.6,4.8,3.0,1.8,1.8,3.6,5.2,1.6,2.0,1.2,1.2,0.2757142857142857,0.32,0.4333333333333333,0.3166666666666666,17.0,6.0,11.0,0.0,3.0,-0.1999999999999999,0.1999999999999999,0.0
2018-2019,23,2019-01-19,15:00,沃特福德,伯恩利,0,0,0,0,0,4,3,1,7,0,0,-1,-1,1510.7794557240811,1439.1676200505024,71.61183567357898,1.8,1.4,3.4,3.8,1.2,2.0,2.2,3.6,1.2,2.0,0.6,2.0,0.62,0.2833333333333333,0.3833333333333333,0.3833333333333333,7.0,7.0,0.0,1.0,4.0,0.6000000000000001,0.6000000000000001,1.2000000000000002
2018-2019,23,2019-01-19,15:00,伯恩茅斯,西汉姆联,2,0,0,0,2,5,1,5,6,0,0,1,-1,1469.7586335900014,1496.4927911178604,-26.734157527859,1.2,2.8,5.8,5.6,1.0,1.4,5.0,5.6,1.6,2.0,1.6,0.8,0.25,0.5761904761904761,0.2133333333333333,0.2666666666666666,6.0,7.0,-1.0,1.0,3.0,0.1999999999999999,-1.4,-1.2
